fwer,sensitivity,sm_sigma,snr,n,method,distribution
0.0,0.0,0.0,0.0,2,Voxel-wise permutation,n
0.0,0.0,0.0,0.1,2,Voxel-wise permutation,n
0.0,0.0,0.0,0.25,2,Voxel-wise permutation,n
0.0,0.0,0.0,0.5,2,Voxel-wise permutation,n
0.0,0.0,0.0,0.75,2,Voxel-wise permutation,n
0.0,0.0,0.0,1.0,2,Voxel-wise permutation,n
0.0,0.0,0.0,1.25,2,Voxel-wise permutation,n
0.0,0.0,0.0,1.5,2,Voxel-wise permutation,n
0.0,0.0,0.0,1.75,2,Voxel-wise permutation,n
0.0,0.0,0.0,2.0,2,Voxel-wise permutation,n
0.0,0.0,0.0,2.25,2,Voxel-wise permutation,n
0.0,0.0,0.0,2.5,2,Voxel-wise permutation,n
0.0,0.0,0.0,2.75,2,Voxel-wise permutation,n
0.0,0.0,0.0,3.0,2,Voxel-wise permutation,n
0.0,0.0,0.1,0.0,2,Voxel-wise permutation,n
0.0,0.0,0.1,0.1,2,Voxel-wise permutation,n
0.0,0.0,0.1,0.25,2,Voxel-wise permutation,n
0.0,0.0,0.1,0.5,2,Voxel-wise permutation,n
0.0,0.0,0.1,0.75,2,Voxel-wise permutation,n
0.0,0.0,0.1,1.0,2,Voxel-wise permutation,n
0.0,0.0,0.1,1.25,2,Voxel-wise permutation,n
0.0,0.0,0.1,1.5,2,Voxel-wise permutation,n
0.0,0.0,0.1,1.75,2,Voxel-wise permutation,n
0.0,0.0,0.1,2.0,2,Voxel-wise permutation,n
0.0,0.0,0.1,2.25,2,Voxel-wise permutation,n
0.0,0.0,0.1,2.5,2,Voxel-wise permutation,n
0.0,0.0,0.1,2.75,2,Voxel-wise permutation,n
0.0,0.0,0.1,3.0,2,Voxel-wise permutation,n
0.0,0.0,0.25,0.0,2,Voxel-wise permutation,n
0.0,0.0,0.25,0.1,2,Voxel-wise permutation,n
0.0,0.0,0.25,0.25,2,Voxel-wise permutation,n
0.0,0.0,0.25,0.5,2,Voxel-wise permutation,n
0.0,0.0,0.25,0.75,2,Voxel-wise permutation,n
0.0,0.0,0.25,1.0,2,Voxel-wise permutation,n
0.0,0.0,0.25,1.25,2,Voxel-wise permutation,n
0.0,0.0,0.25,1.5,2,Voxel-wise permutation,n
0.0,0.0,0.25,1.75,2,Voxel-wise permutation,n
0.0,0.0,0.25,2.0,2,Voxel-wise permutation,n
0.0,0.0,0.25,2.25,2,Voxel-wise permutation,n
0.0,0.0,0.25,2.5,2,Voxel-wise permutation,n
0.0,0.0,0.25,2.75,2,Voxel-wise permutation,n
0.0,0.0,0.25,3.0,2,Voxel-wise permutation,n
0.0,0.0,0.5,0.0,2,Voxel-wise permutation,n
0.0,0.0,0.5,0.1,2,Voxel-wise permutation,n
0.0,0.0,0.5,0.25,2,Voxel-wise permutation,n
0.0,0.0,0.5,0.5,2,Voxel-wise permutation,n
0.0,0.0,0.5,0.75,2,Voxel-wise permutation,n
0.0,0.0,0.5,1.0,2,Voxel-wise permutation,n
0.0,0.0,0.5,1.25,2,Voxel-wise permutation,n
0.0,0.0,0.5,1.5,2,Voxel-wise permutation,n
0.0,0.0,0.5,1.75,2,Voxel-wise permutation,n
0.0,0.0,0.5,2.0,2,Voxel-wise permutation,n
0.0,0.0,0.5,2.25,2,Voxel-wise permutation,n
0.0,0.0,0.5,2.5,2,Voxel-wise permutation,n
0.0,0.0,0.5,2.75,2,Voxel-wise permutation,n
0.0,0.0,0.5,3.0,2,Voxel-wise permutation,n
0.0,0.0,0.75,0.0,2,Voxel-wise permutation,n
0.0,0.0,0.75,0.1,2,Voxel-wise permutation,n
0.0,0.0,0.75,0.25,2,Voxel-wise permutation,n
0.0,0.0,0.75,0.5,2,Voxel-wise permutation,n
0.0,0.0,0.75,0.75,2,Voxel-wise permutation,n
0.0,0.0,0.75,1.0,2,Voxel-wise permutation,n
0.0,0.0,0.75,1.25,2,Voxel-wise permutation,n
0.0,0.0,0.75,1.5,2,Voxel-wise permutation,n
0.0,0.0,0.75,1.75,2,Voxel-wise permutation,n
0.0,0.0,0.75,2.0,2,Voxel-wise permutation,n
0.0,0.0,0.75,2.25,2,Voxel-wise permutation,n
0.0,0.0,0.75,2.5,2,Voxel-wise permutation,n
0.0,0.0,0.75,2.75,2,Voxel-wise permutation,n
0.0,0.0,0.75,3.0,2,Voxel-wise permutation,n
0.0,0.0,1.0,0.0,2,Voxel-wise permutation,n
0.0,0.0,1.0,0.1,2,Voxel-wise permutation,n
0.0,0.0,1.0,0.25,2,Voxel-wise permutation,n
0.0,0.0,1.0,0.5,2,Voxel-wise permutation,n
0.0,0.0,1.0,0.75,2,Voxel-wise permutation,n
0.0,0.0,1.0,1.0,2,Voxel-wise permutation,n
0.0,0.0,1.0,1.25,2,Voxel-wise permutation,n
0.0,0.0,1.0,1.5,2,Voxel-wise permutation,n
0.0,0.0,1.0,1.75,2,Voxel-wise permutation,n
0.0,0.0,1.0,2.0,2,Voxel-wise permutation,n
0.0,0.0,1.0,2.25,2,Voxel-wise permutation,n
0.0,0.0,1.0,2.5,2,Voxel-wise permutation,n
0.0,0.0,1.0,2.75,2,Voxel-wise permutation,n
0.0,0.0,1.0,3.0,2,Voxel-wise permutation,n
0.0,0.0,1.25,0.0,2,Voxel-wise permutation,n
0.0,0.0,1.25,0.1,2,Voxel-wise permutation,n
